user_id,movie_id,algo_id,action,x,y,timestamp
74181,8485,1,impression,5,-5,Thu Feb 15 2018 19:14:15 GMT-0800 (PST)
38409,2739,1,impression,7,-4,Tue Jan 30 2018 10:16:06 GMT-0800 (PST)
49973,4477,0,impression,4,0,Sat Feb 24 2018 11:57:56 GMT-0800 (PST)
46875,6727,1,impression,8,5,Sun Jan 28 2018 18:14:09 GMT-0800 (PST)
12225,5808,1,impression,-3,-1,Sun Jan 07 2018 10:28:29 GMT-0800 (PST)
42944,6308,0,impression,-6,-4,Wed Dec 27 2017 08:45:08 GMT-0800 (PST)
45835,8126,0,impression,-4,7,Sat Feb 10 2018 08:28:15 GMT-0800 (PST)
49845,8041,1,impression,4,-7,Fri Jan 19 2018 23:48:43 GMT-0800 (PST)
96841,7876,1,impression,-5,2,Tue Feb 13 2018 13:36:16 GMT-0800 (PST)
3085,8458,0,impression,6,-2,Thu Jan 25 2018 00:47:14 GMT-0800 (PST)
14414,7697,1,impression,9,2,Tue Jan 23 2018 02:48:15 GMT-0800 (PST)
28274,4504,0,impression,-8,-7,Thu Dec 21 2017 04:54:49 GMT-0800 (PST)
1781,747,1,resume,,,Tue Dec 19 2017 07:21:20 GMT-0800 (PST)
34961,4775,1,engage,,,Wed Feb 07 2018 04:18:30 GMT-0800 (PST)
40014,849,1,impression,1,-2,Tue Feb 13 2018 20:58:01 GMT-0800 (PST)
10088,3624,0,impression,-8,-1,Sun Feb 04 2018 15:21:10 GMT-0800 (PST)
58388,1854,1,start,,,Tue Jan 09 2018 07:52:49 GMT-0800 (PST)
23425,4512,1,engage,,,Wed Feb 21 2018 16:58:38 GMT-0800 (PST)
46666,366,1,pause,,,Mon Dec 18 2017 00:45:28 GMT-0800 (PST)
8732,1836,1,impression,9,-9,Sat Jan 27 2018 22:11:11 GMT-0800 (PST)
4488,22,1,pause,,,Tue Dec 05 2017 02:17:53 GMT-0800 (PST)
68311,143,0,complete,,,Thu Dec 28 2017 20:36:00 GMT-0800 (PST)
42527,4411,0,engage,,,Fri Jan 19 2018 14:59:57 GMT-0800 (PST)
57376,8960,0,start,,,Wed Feb 07 2018 02:42:43 GMT-0800 (PST)
46803,1241,0,start,,,Fri Feb 09 2018 10:16:10 GMT-0800 (PST)
88165,1604,1,start,,,Sun Jan 14 2018 16:13:20 GMT-0800 (PST)
93627,4964,1,impression,7,-8,Sun Jan 28 2018 08:00:37 GMT-0800 (PST)
56873,6824,0,engage,,,Mon Feb 26 2018 09:59:34 GMT-0800 (PST)
36163,5528,1,complete,,,Tue Jan 02 2018 20:55:56 GMT-0800 (PST)
24283,3834,0,resume,,,Tue Dec 05 2017 18:12:05 GMT-0800 (PST)
19907,1165,1,impression,-4,1,Thu Feb 15 2018 16:31:44 GMT-0800 (PST)
27249,3592,0,impression,-3,-6,Thu Feb 15 2018 10:03:55 GMT-0800 (PST)
18831,2909,1,resume,,,Thu Dec 14 2017 03:57:18 GMT-0800 (PST)
38600,3832,0,complete,,,Thu Feb 15 2018 05:36:16 GMT-0800 (PST)
28685,8908,0,impression,1,-9,Tue Feb 13 2018 02:48:06 GMT-0800 (PST)
90465,746,1,pause,,,Tue Dec 12 2017 19:45:40 GMT-0800 (PST)
46715,7521,1,pause,,,Wed Jan 10 2018 07:16:00 GMT-0800 (PST)
44178,5584,1,impression,-4,-2,Thu Jan 11 2018 23:54:34 GMT-0800 (PST)
44582,7878,0,resume,,,Fri Feb 16 2018 05:51:46 GMT-0800 (PST)
87663,5077,0,start,,,Tue Dec 12 2017 20:10:14 GMT-0800 (PST)
12182,2348,1,start,,,Mon Jan 08 2018 21:39:28 GMT-0800 (PST)
39129,8969,0,impression,0,3,Sun Dec 03 2017 02:31:32 GMT-0800 (PST)
64272,8451,0,impression,-7,9,Mon Feb 26 2018 15:17:00 GMT-0800 (PST)
36306,4701,0,impression,1,5,Thu Dec 28 2017 05:05:48 GMT-0800 (PST)
29046,9140,0,impression,4,-7,Sat Dec 30 2017 07:50:40 GMT-0800 (PST)
38790,9257,1,pause,,,Sat Dec 23 2017 16:28:18 GMT-0800 (PST)
42609,9475,1,impression,-6,-6,Tue Jan 16 2018 19:00:50 GMT-0800 (PST)
75747,3569,1,impression,5,8,Thu Feb 08 2018 14:34:07 GMT-0800 (PST)
88463,3202,0,impression,9,-4,Sun Feb 11 2018 09:23:57 GMT-0800 (PST)
12364,5838,0,impression,1,-8,Sat Jan 27 2018 16:26:35 GMT-0800 (PST)
86477,2349,1,impression,-7,9,Wed Jan 17 2018 19:15:17 GMT-0800 (PST)
44394,3026,1,engage,,,Sun Dec 31 2017 05:46:35 GMT-0800 (PST)
24209,2567,1,start,,,Mon Dec 25 2017 16:21:52 GMT-0800 (PST)
50634,4416,0,engage,,,Fri Dec 22 2017 02:54:14 GMT-0800 (PST)
3019,6222,1,impression,8,4,Sun Dec 17 2017 17:44:56 GMT-0800 (PST)
70544,4419,0,impression,5,1,Fri Dec 22 2017 10:50:51 GMT-0800 (PST)
12038,8204,1,impression,6,-1,Sat Jan 13 2018 20:12:25 GMT-0800 (PST)
71208,7554,1,start,,,Wed Jan 10 2018 04:30:20 GMT-0800 (PST)
1388,4795,1,engage,,,Sun Feb 18 2018 15:59:32 GMT-0800 (PST)
6132,8996,1,pause,,,Sun Jan 07 2018 08:33:33 GMT-0800 (PST)
